fips,region,sid,county,state,nis,is_presence,gc,nps,nps_presence,pop,i21,long,lat,group,county_fips,pop_log
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.245259,41.439895,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.235911,41.426153,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.207688,41.420544,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.186557,41.408596,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.183269,41.391711,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.157977,41.382959,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.147555,41.367696,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.115754,41.332196,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.090938,41.319256,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.086704,41.314558,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.078952,41.311596,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.077652,41.307696,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.067851,41.300996,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.065051,41.297596,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.065251,41.294896,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.068751,41.289196,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.071251,41.287296,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.08153,41.282856,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.088682,41.271737,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.086752,41.254596,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.109953,41.229396,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.109253,41.204097,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.122353,41.179797,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.107987,41.168738,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.110352,41.159697,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.109952,41.156997,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.108352,41.153718,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.111052,41.150797,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.130253,41.146797,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.16437021,41.15856466,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.170074,41.160532,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.170701,41.164945,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.177774,41.166697,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.202656,41.158096,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.228295,41.142602,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.235058,41.143996,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.247958,41.126396,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.262358,41.117496,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.286759,41.127896,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.296359,41.125696,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.31186,41.116296,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.33066,41.109996,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.372296,41.10402,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.354231,41.085639,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.387227,41.058247,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.422165,41.047562,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.435063,41.056696,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.450364,41.057096,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.468239,41.051347,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.477364,41.035997,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.493327,41.048173,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.516903,41.038738,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.516766,41.029497,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.522666,41.019297,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.528866,41.016397,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.531169,41.021919,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.530189,41.028776,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.532786,41.03167,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.535338,41.03192,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.551494,41.024336,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.561968,41.016797,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.567668,41.010897,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.570068,41.001597,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.583968,41.000897,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.584988,41.010537,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.595699,41.015995,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.603952,41.015054,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.643478,41.002171,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.651175,40.995229,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.657336,40.985171,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.65761589,40.98549919,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.659671,40.987909,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.658772,40.993497,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.659372,40.999497,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.655571,41.007697,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.654671,41.011697,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.655371,41.012797,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.662672,41.020497,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.670472,41.030097,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.679973,41.041797,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.687173,41.050697,09001.1,09001,5.974664566960404
9001,1,1,fairfield,ct,2,1,30,1,1,943332,1,-73.694273,41.059296,09001.1,09001,5.974664566960404
