i21,nis,is_presence,nps,nps_presence,gc,pop,latitude,longitude,county,state,e_dist,std_nis,std_nps,std_gc,std_pop
0,0,0,1,1,39,1477000,40.943554,-72.692218,suffolk,NY,6960.53317191044,-1.0178953507216633,0.36549519662310564,2.856259415373275,2.881975297611723
0,0,0,1,1,18,1357000,40.729687,-73.589384,nassau,NY,7074.304840617424,-1.0178953507216633,0.36549519662310564,0.5657325412091994,2.591811397601854
1,2,1,1,1,30,943332,41.228103,-73.366757,fairfield,CT,7082.4375096756585,1.3619726523740565,0.36549519662310564,1.8746050407315282,1.5915487293578345
1,0,0,0,0,24,607186,39.86585,-74.263027,ocean,NJ,7104.283175425228,-1.0178953507216633,-0.6628472209944458,1.2201687909703638,0.7787367765851902
1,0,0,0,0,12,2253858,40.658557,-73.837929,queens,NY,7105.15801633129,-1.0178953507216633,-0.6628472209944458,-0.0887037085519651,4.76044318956061
1,0,0,1,1,21,2559903,40.635133,-73.950777,kings,NY,7119.931452831419,-1.0178953507216633,0.36549519662310564,0.8929506660897816,5.500469946048279
1,0,0,1,1,16,618795,40.287056,-74.152446,monmouth,NJ,7121.632128930052,-1.0178953507216633,0.36549519662310564,0.34758712462214453,0.8068077158786449
1,2,1,1,1,8,1418000,40.848711,-73.852939,bronx,NY,7122.873789299243,1.3619726523740565,0.36549519662310564,-0.5249945417260747,2.7393113801068707
1,0,0,0,0,23,263670,39.469354,-74.633758,atlantic,NJ,7128.02773837988,-1.0178953507216633,-0.6628472209944458,1.1110960826768363,-0.051896075713060145
0,0,0,0,0,34,92039,39.086143,-74.847716,cape may,NJ,7129.907165033106,-1.0178953507216633,-0.6628472209944458,2.310895873905638,-0.46690541173467487
1,2,1,0,0,19,967506,41.15277,-73.745912,westchester,NY,7132.010015384644,1.3619726523740565,-0.6628472209944458,0.6748052495027268,1.6500022470148226
1,2,1,0,0,12,1628706,40.776557,-73.970174,new york,NY,7134.314242364524,1.3619726523740565,-0.6628472209944458,-0.0887037085519651,3.248805336069199
1,0,0,1,1,19,476143,40.563855,-74.137063,richmond,NY,7141.730442726994,-1.0178953507216633,0.36549519662310564,0.6748052495027268,0.4618705436769134
1,2,1,1,1,14,672391,40.731384,-74.078627,hudson,NJ,7146.688620760584,1.3619726523740565,0.36549519662310564,0.12944170803508973,0.9364045857530526
0,1,1,1,1,29,98320,41.427904,-73.743882,putnam,NY,7154.43136226314,0.17203865082619663,0.36549519662310564,1.7655323324380008,-0.45171774960165834
1,1,1,0,0,23,445349,39.875786,-74.663006,burlington,NJ,7164.642774073831,0.17203865082619663,-0.6628472209944458,1.1110960826768363,0.3874096508693809
