fips,county,state,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,long,lat,group,county_fips
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.49781,41.638145,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.455163,41.547195,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.442766,41.514094,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.441466,41.491294,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.386964,41.514794,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.375263,41.489194,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.326774,41.469515,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.310473,41.468815,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.29776,41.448276,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.273696,41.451645,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.264524,41.435072,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.245259,41.439895,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.235911,41.426153,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.207688,41.420544,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.186557,41.408596,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.183269,41.391711,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.157977,41.382959,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.147555,41.367696,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.115754,41.332196,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.090938,41.319256,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.086704,41.314558,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.078952,41.311596,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.077652,41.307696,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.067851,41.300996,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.065051,41.297596,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.065251,41.294896,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.068751,41.289196,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.071251,41.287296,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.08153,41.282856,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.088682,41.271737,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.086752,41.254596,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.109953,41.229396,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.109253,41.204097,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.122353,41.179797,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.107987,41.168738,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.110352,41.159697,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.109952,41.156997,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.108352,41.153718,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.111052,41.150797,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.130253,41.146797,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.16437021,41.15856466,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.170074,41.160532,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.170701,41.164945,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.177774,41.166697,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.202656,41.158096,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.228295,41.142602,09001.1,09001
